what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.pde.api.tools,1.0.201.v20100602-0930,"org.eclipse.pde.api.tools",1508039389490
started,bundle,org.eclipse.pde.api.tools.ui,1.0.200.v20100601-1815,"org.eclipse.pde.api.tools.ui",1508039389491
started,bundle,org.eclipse.jst.ws.annotations.core,1.0.0.v201004262257,"org.eclipse.jst.ws.annotations.core",1508039389622
executed,command,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.edit.text.scroll.lineUp",1508039468546
executed,command,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.edit.text.goto.wordPrevious",1508039471462
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1508039475121
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1508039482258
executed,command,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1508039532763
executed,command,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1508039547210
executed,command,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.edit.text.smartEnter",1508039691078
executed,command,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1508039702254
executed,command,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1508039715388
executed,command,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1508039880915
executed,command,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1508039922416
executed,command,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1508039936771
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1508039954596
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1508039957943
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1508040004802
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1508040005651
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1508040137243
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1508040144833
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1508040160887
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1508040168316
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1508040170569
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1508040173233
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1508040260865
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1508040261468
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1508040274863
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1508040276975
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1508040364238
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1508040367537
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1508040408555
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1508041228943
activated,view,org.eclipse.ui.navigator.resources,3.4.200.I20100601-0800,"org.eclipse.ui.navigator.ProjectExplorer",1508041235689
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1508041254493
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1508041265918
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1508041273887
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1508041278820
opened,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1508041278952
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1508041279024
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1508041282764
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1508041302555
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1508041315547
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1508041317418
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1508041323377
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1508041422417
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1508041431981
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1508041432575
executed,command,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1508041502507
executed,command,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1508041852762
executed,command,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1508041867035
executed,command,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1508041895305
