what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1508647449221
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1508647466899
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1508647469142
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1508647478881
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1508647561635
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1508647565182
executed,command,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1508647737787
executed,command,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1508647781395
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1508647812361
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1508647812840
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1508647821247
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1508647823302
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1508647833029
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1508647833626
executed,command,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1508647839939
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1508647856404
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1508647858810
executed,command,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1508647873883
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1508647890922
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1508647891657
executed,command,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1508647933541
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1508647952841
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1508647956420
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1508647956631
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1508647958927
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1508647991345
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1508648058319
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1508648077220
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1508648545713
activated,view,org.eclipse.ui.navigator.resources,3.4.200.I20100601-0800,"org.eclipse.ui.navigator.ProjectExplorer",1508648556407
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1508648563311
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1508648577771
opened,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1508648577896
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1508648577938
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1508648579209
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1508648585241
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1508648587308
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1508657502919
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1508657509374
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1508657511774
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1508657514284
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1508657551553
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1508657553116
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1508700202053
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1508700202098
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1508700436598
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1508700489809
executed,command,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1508700755701
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1508700794175
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1508700803586
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1508700807986
executed,command,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.edit.text.smartEnter",1508701119399
executed,command,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.edit.text.smartEnter",1508701207888
executed,command,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1508701237869
executed,command,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1508701409476
executed,command,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.edit.text.smartEnter",1508701520542
executed,command,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1508702082179
activated,view,org.eclipse.ui.navigator.resources,3.4.200.I20100601-0800,"org.eclipse.ui.navigator.ProjectExplorer",1508702116559
opened,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1508702121669
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1508702121732
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1508702155092
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1508702193859
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1508702207758
executed,command,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.edit.text.smartEnter",1508702354807
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1508703711233
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1508703711717
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1508703817787
started,bundle,org.eclipse.wst.xsl.debug.ui,1.0.100.v201004290328,"org.eclipse.wst.xsl.debug.ui",1508703848225
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1508703858731
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1508703866920
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1508703886690
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1508704153659
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1508704153894
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1508704439449
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1508704444012
error,log,,,"Internal Error",1508705264304
error,log,,,"Internal Error",1508705266664
error,log,,,"Internal Error",1508705268461
error,log,,,"Internal Error",1508705268680
error,log,,,"Internal Error",1508705481878
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1508705509055
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1508705594173
error,log,,,"Internal Error",1508705601090
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1508705642707
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1508705645624
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1508705723491
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1508705726008
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1508705735182
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1508705749104
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1508705765788
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1508705772349
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1508705778342
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1508705972710
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1508705978602
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1508706024277
executed,command,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.edit.text.smartEnter",1508706031824
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1508706044138
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1508706253009
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1508706269721
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1508706282547
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1508706290105
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1508706307263
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1508706333847
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1508706337106
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1508706337184
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1508706340107
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1508706340185
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1508706342123
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1508706342201
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1508706345169
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1508706345247
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1508706347201
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1508706347279
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1508706348311
