what,kind,bundleId,bundleVersion,description,time
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1508712717943
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1508712719366
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1508712722585
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1508712724235
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1508712725610
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1508712762404
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1508712764436
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1508712764452
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1508712766796
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1508712768140
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1508712773560
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1508712785910
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1508712801916
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1508712804936
activated,view,org.eclipse.ui.navigator.resources,3.4.200.I20100601-0800,"org.eclipse.ui.navigator.ProjectExplorer",1508712820766
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1508712879071
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1508712891943
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1508712898319
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1508712911759
opened,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1508712917819
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1508712917866
activated,view,org.eclipse.ui.navigator.resources,3.4.200.I20100601-0800,"org.eclipse.ui.navigator.ProjectExplorer",1508712945130
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1508712950804
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1508712953179
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1508712962398
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1508712966533
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1508712969323
activated,view,org.eclipse.ui.navigator.resources,3.4.200.I20100601-0800,"org.eclipse.ui.navigator.ProjectExplorer",1508712971417
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1508712971604
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.cut",1508713009886
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1508713014450
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1508713040182
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1508713042487
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1508713049909
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1508713051863
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1508713061848
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1508713066052
activated,view,org.eclipse.ui.navigator.resources,3.4.200.I20100601-0800,"org.eclipse.ui.navigator.ProjectExplorer",1508713068318
opened,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1508713068506
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1508713068553
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.cut",1508713078010
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1508713082917
activated,view,org.eclipse.ui.navigator.resources,3.4.200.I20100601-0800,"org.eclipse.ui.navigator.ProjectExplorer",1508713117482
opened,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1508713117669
