what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.navigator.resources,3.4.200.I20100601-0800,"org.eclipse.ui.navigator.resources",1509246771865
started,bundle,org.eclipse.ui.net,1.2.100.I20100505-1245,"org.eclipse.ui.net",1509246771865
started,bundle,org.eclipse.ui.views,3.5.0.I20100527-0800,"org.eclipse.ui.views",1509246771865
started,bundle,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"org.eclipse.ui.workbench",1509246771865
started,bundle,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.workbench.texteditor",1509246771865
started,bundle,org.eclipse.wst.common.core,1.2.0.v200908252030,"org.eclipse.wst.common.core",1509246771869
started,bundle,org.eclipse.wst.common.emf,1.2.0.v201005200700,"org.eclipse.wst.common.emf",1509246771869
started,bundle,org.eclipse.wst.common.emfworkbench.integration,1.2.0.v201004110600,"org.eclipse.wst.common.emfworkbench.integration",1509246771869
started,bundle,org.eclipse.wst.common.frameworks,1.2.0.v201003040800,"org.eclipse.wst.common.frameworks",1509246771869
started,bundle,org.eclipse.wst.common.frameworks.ui,1.2.0.v201004080500,"org.eclipse.wst.common.frameworks.ui",1509246771873
started,bundle,org.eclipse.wst.common.modulecore,1.2.0.v201005200200,"org.eclipse.wst.common.modulecore",1509246771873
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.100.v201005190114,"org.eclipse.wst.common.project.facet.core",1509246771873
started,bundle,org.eclipse.wst.jsdt.core,1.1.0.v201006030738,"org.eclipse.wst.jsdt.core",1509246771873
started,bundle,org.eclipse.wst.jsdt.debug.ui,1.0.0.v201005250108,"org.eclipse.wst.jsdt.debug.ui",1509246771873
started,bundle,org.eclipse.wst.jsdt.manipulation,1.0.200.v201004150600,"org.eclipse.wst.jsdt.manipulation",1509246771877
started,bundle,org.eclipse.wst.jsdt.ui,1.1.0.v201005200157,"org.eclipse.wst.jsdt.ui",1509246771881
started,bundle,org.eclipse.wst.validation,1.2.200.v201005271900,"org.eclipse.wst.validation",1509246771881
started,bundle,org.eclipse.wst.web,1.1.400.v201005270700,"org.eclipse.wst.web",1509246771881
started,bundle,org.eclipse.wst.xml.core,1.1.500.v201005271618,"org.eclipse.wst.xml.core",1509246771885
os,sysinfo,,,"win32",1509246771885
arch,sysinfo,,,"x86_64",1509246771885
ws,sysinfo,,,"win32",1509246771885
locale,sysinfo,,,"en_CA",1509246771885
processors,sysinfo,,,"4",1509246771885
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1509246771885
java.runtime.version,sysinfo,,,"1.8.0_131-b11",1509246771885
java.specification.name,sysinfo,,,"Java Platform API Specification",1509246771885
java.specification.vendor,sysinfo,,,"Oracle Corporation",1509246771885
java.specification.version,sysinfo,,,"1.8",1509246771885
java.vendor,sysinfo,,,"Oracle Corporation",1509246771885
java.version,sysinfo,,,"1.8.0_131",1509246771885
java.vm.info,sysinfo,,,"mixed mode",1509246771885
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1509246771885
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1509246771885
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1509246771885
java.vm.specification.version,sysinfo,,,"1.8",1509246771885
java.vm.vendor,sysinfo,,,"Oracle Corporation",1509246771885
java.vm.version,sysinfo,,,"25.131-b11",1509246771885
